depid,depname,aislenum,pid,eid
1,Bakery,4,259,63
2,Grocery,16,298,349
3,Beverages,15,90,280
4,Frozen,7,93,201
5,Vegetables,8,3,89
6,Bakery,14,356,376
7,Meat,3,277,81
8,Beverages,14,223,299
9,Frozen,17,319,259
10,Dairy,18,372,356
11,Frozen,10,176,358
12,Dairy,9,335,239
13,Beverages,17,108,364
14,Meat,3,369,121
15,Meat,19,2,147
16,Beverages,4,257,50
17,Bakery,5,25,136
18,Vegetables,5,154,160
19,Vegetables,13,33,338
20,Meat,14,264,2
21,Grocery,18,321,4
22,Meat,8,298,255
23,Meat,19,306,371
24,Vegetables,13,1,173
25,Frozen,2,171,166
26,Frozen,11,150,286
27,Grocery,11,117,13
28,Frozen,4,74,256
29,Bakery,17,121,306
30,Bakery,19,341,89
31,Beverages,12,213,230
32,Frozen,18,290,37
33,Meat,1,105,361
34,Frozen,20,163,146
35,Frozen,6,315,134
36,Frozen,7,56,237
37,Meat,1,79,145
38,Frozen,10,294,100
39,Frozen,15,373,261
40,Beverages,19,47,231
41,Dairy,7,310,84
42,Meat,4,33,78
43,Grocery,13,267,253
44,Meat,17,39,192
45,Grocery,4,269,233
46,Beverages,11,271,211
47,Frozen,9,273,106
48,Dairy,6,76,354
49,Grocery,6,95,40
50,Vegetables,4,94,172
51,Beverages,8,375,387
52,Dairy,3,371,339
53,Meat,14,269,63
54,Frozen,10,196,397
55,Meat,18,353,221
56,Vegetables,15,335,188
57,Grocery,3,378,121
58,Grocery,13,244,388
59,Dairy,20,396,17
60,Dairy,4,135,335
61,Frozen,1,186,225
62,Grocery,2,388,34
63,Dairy,19,373,373
64,Grocery,17,180,389
65,Frozen,7,163,380
66,Grocery,16,179,269
67,Vegetables,6,103,64
68,Beverages,9,295,121
69,Bakery,14,36,157
70,Bakery,1,126,346
71,Grocery,11,336,8
72,Vegetables,5,189,281
73,Beverages,13,357,175
74,Meat,6,86,84
75,Bakery,2,222,262
76,Grocery,18,44,340
77,Frozen,15,305,283
78,Bakery,4,369,153
79,Frozen,7,189,215
80,Dairy,3,76,367
81,Grocery,2,365,239
82,Bakery,8,179,289
83,Grocery,6,293,3
84,Dairy,15,73,101
85,Meat,15,243,273
86,Beverages,8,393,294
87,Vegetables,3,272,375
88,Beverages,9,260,346
89,Meat,6,303,154
90,Beverages,20,110,321
91,Bakery,14,353,358
92,Vegetables,3,310,62
93,Beverages,20,353,274
94,Bakery,18,179,393
95,Bakery,20,135,269
96,Meat,17,305,66
97,Vegetables,13,257,273
98,Grocery,12,142,271
99,Frozen,13,85,319
100,Beverages,16,92,343
101,Vegetables,19,348,316
102,Vegetables,14,321,203
103,Frozen,12,39,166
104,Meat,2,106,21
105,Vegetables,17,323,250
106,Beverages,9,38,346
107,Frozen,4,136,45
108,Vegetables,5,22,50
109,Vegetables,5,318,298
110,Dairy,17,172,131
111,Bakery,13,157,309
112,Vegetables,3,72,55
113,Meat,19,390,368
114,Dairy,2,117,60
115,Bakery,6,64,299
116,Beverages,13,382,373
117,Grocery,15,290,315
118,Meat,4,195,84
119,Vegetables,5,207,17
120,Meat,19,185,132
121,Meat,5,122,116
122,Meat,14,357,29
123,Grocery,19,299,391
124,Dairy,19,125,369
125,Frozen,15,109,75
126,Beverages,2,264,37
127,Dairy,2,272,108
128,Beverages,7,80,83
129,Beverages,16,288,105
130,Frozen,14,319,71
131,Beverages,16,240,309
132,Dairy,9,273,94
133,Beverages,16,97,55
134,Dairy,9,93,288
135,Vegetables,5,248,202
136,Grocery,13,234,88
137,Vegetables,16,167,240
138,Grocery,6,144,311
139,Grocery,18,360,131
140,Beverages,3,284,262
141,Bakery,14,68,90
142,Frozen,14,314,106
143,Frozen,5,333,9
144,Bakery,4,361,257
145,Vegetables,13,239,85
146,Grocery,17,391,166
147,Grocery,18,146,380
148,Dairy,18,220,56
149,Beverages,11,33,295
150,Dairy,16,379,202
151,Meat,11,18,322
152,Vegetables,19,219,297
153,Meat,16,93,116
154,Frozen,19,383,287
155,Bakery,14,325,39
156,Grocery,14,68,110
157,Grocery,3,215,21
158,Dairy,20,221,66
159,Vegetables,15,18,262
160,Bakery,17,372,344
161,Vegetables,2,323,300
162,Frozen,12,187,317
163,Meat,12,290,339
164,Beverages,18,6,20
165,Beverages,1,6,235
166,Vegetables,3,277,213
167,Dairy,20,302,19
168,Frozen,7,166,365
169,Beverages,3,47,118
170,Dairy,15,330,308
171,Meat,7,41,214
172,Bakery,2,62,386
173,Vegetables,1,128,54
174,Beverages,1,177,115
175,Vegetables,4,111,392
176,Meat,13,281,31
177,Meat,16,302,337
178,Meat,19,89,309
179,Frozen,4,158,373
180,Grocery,8,342,371
181,Bakery,6,84,163
182,Dairy,13,353,107
183,Bakery,10,258,194
184,Meat,2,85,69
185,Beverages,16,224,137
186,Vegetables,18,341,36
187,Frozen,14,157,377
188,Beverages,6,267,1
189,Grocery,18,169,71
190,Beverages,18,326,364
191,Frozen,3,130,16
192,Grocery,1,360,136
193,Frozen,13,310,285
194,Meat,9,378,176
195,Meat,16,371,200
196,Bakery,8,394,190
197,Meat,20,207,154
198,Grocery,15,91,252
199,Meat,10,374,216
200,Dairy,19,233,163
201,Frozen,20,212,132
202,Frozen,4,347,88
203,Beverages,18,82,262
204,Grocery,4,164,290
205,Grocery,9,266,164
206,Beverages,8,206,287
207,Meat,5,253,208
208,Beverages,4,94,119
209,Dairy,5,28,309
210,Dairy,10,320,228
211,Dairy,4,204,354
212,Bakery,20,335,369
213,Frozen,17,23,159
214,Grocery,6,138,241
215,Frozen,20,21,261
216,Dairy,14,215,16
217,Meat,20,362,232
218,Grocery,2,42,150
219,Grocery,16,324,254
220,Meat,4,97,204
221,Grocery,15,190,217
222,Grocery,7,91,68
223,Bakery,8,88,62
224,Grocery,17,225,255
225,Bakery,20,357,272
226,Vegetables,9,19,111
227,Vegetables,9,144,149
228,Grocery,6,391,188
229,Meat,8,343,224
230,Vegetables,15,351,165
231,Bakery,18,361,6
232,Meat,11,61,76
233,Dairy,13,313,13
234,Beverages,19,229,205
235,Bakery,14,158,133
236,Frozen,1,395,90
237,Frozen,15,326,345
238,Bakery,3,14,310
239,Beverages,2,86,90
240,Dairy,1,236,211
241,Frozen,12,348,350
242,Meat,17,249,91
243,Beverages,5,124,175
244,Grocery,7,321,331
245,Meat,14,163,250
246,Vegetables,13,62,104
247,Grocery,20,136,353
248,Meat,15,50,165
249,Beverages,7,279,219
250,Grocery,20,372,131
251,Frozen,18,47,161
252,Dairy,3,394,336
253,Vegetables,3,120,257
254,Frozen,1,362,291
255,Frozen,11,212,139
256,Bakery,5,137,172
257,Meat,20,364,84
258,Frozen,5,302,397
259,Dairy,8,184,320
260,Grocery,11,348,321
261,Grocery,10,50,177
262,Meat,5,393,276
263,Dairy,5,276,31
264,Vegetables,17,180,289
265,Meat,5,32,276
266,Dairy,9,6,362
267,Vegetables,1,61,224
268,Grocery,1,362,266
269,Grocery,16,260,114
270,Grocery,14,205,331
271,Meat,10,114,302
272,Bakery,14,385,17
273,Bakery,5,154,323
274,Vegetables,13,53,105
275,Beverages,13,93,209
276,Vegetables,14,278,240
277,Grocery,6,288,276
278,Beverages,19,95,281
279,Bakery,18,13,129
280,Frozen,13,286,105
281,Vegetables,10,107,84
282,Grocery,15,73,234
283,Dairy,7,2,71
284,Grocery,15,97,102
285,Meat,6,83,14
286,Grocery,15,241,190
287,Vegetables,10,387,148
288,Vegetables,12,90,327
289,Beverages,2,67,282
290,Beverages,8,205,353
291,Grocery,6,142,176
292,Bakery,13,225,12
293,Vegetables,6,285,120
294,Frozen,14,56,145
295,Dairy,6,221,332
296,Dairy,13,316,178
297,Grocery,5,18,300
298,Vegetables,6,249,275
299,Beverages,7,15,299
300,Grocery,3,112,60
301,Frozen,14,27,87
302,Vegetables,4,16,87
303,Dairy,12,153,353
304,Grocery,4,87,202
305,Bakery,10,214,260
306,Grocery,9,161,37
307,Beverages,12,188,320
308,Dairy,10,312,209
309,Meat,15,31,236
310,Bakery,3,253,1
311,Meat,2,46,382
312,Vegetables,6,359,229
313,Bakery,9,90,228
314,Dairy,3,388,303
315,Meat,10,112,381
316,Dairy,10,319,106
317,Dairy,1,285,376
318,Vegetables,7,56,255
319,Vegetables,18,284,114
320,Bakery,19,312,255
321,Frozen,20,150,298
322,Vegetables,11,156,217
323,Beverages,4,59,128
324,Grocery,12,27,387
325,Beverages,17,153,131
326,Meat,11,387,145
327,Vegetables,5,115,275
328,Meat,6,299,4
329,Frozen,7,8,20
330,Frozen,6,398,162
331,Frozen,9,328,175
332,Bakery,6,307,275
333,Dairy,12,334,17
334,Bakery,5,119,377
335,Vegetables,2,281,95
336,Meat,4,393,91
337,Meat,14,330,162
338,Meat,15,28,387
339,Bakery,10,197,152
340,Meat,2,378,276
341,Meat,19,6,95
342,Meat,2,8,125
343,Grocery,5,302,185
344,Frozen,16,339,198
345,Vegetables,18,68,297
346,Beverages,10,277,250
347,Meat,19,202,26
348,Dairy,1,83,116
349,Vegetables,8,256,14
350,Vegetables,11,89,6
351,Frozen,18,334,301
352,Frozen,9,285,39
353,Grocery,20,208,196
354,Grocery,10,243,107
355,Vegetables,12,304,65
356,Grocery,4,324,370
357,Vegetables,12,120,212
358,Beverages,13,157,58
359,Frozen,10,153,244
360,Dairy,7,247,232
361,Grocery,5,3,32
362,Meat,10,335,51
363,Vegetables,20,259,183
364,Bakery,14,132,315
365,Grocery,9,306,218
366,Bakery,13,220,199
367,Dairy,7,21,265
