pid,pname,stock,price,validity
1,Lettuce,319,63.57,17/10/2025
2,Coconut,408,27.85,15/09/2025
3,Turkey,245,72.23,05/02/2026
4,Duck,433,85.29,24/07/2025
5,Radish,326,46.62,12/06/2025
6,Potato,242,30.38,15/08/2025
7,Cheese,248,70.69,01/12/2025
8,Cucumber,309,31.19,16/06/2025
9,Peach,74,35.25,02/02/2026
10,Chicken Wings,339,49.52,17/09/2025
11,Potato,362,35.57,07/05/2025
12,Celery,140,37.34,12/01/2026
13,Almonds,221,88.52,26/05/2025
14,Flour,244,52.03,26/06/2025
15,Garlic,325,22.4,05/08/2025
16,Potato,454,81.7,18/12/2025
17,Duck,64,13.88,21/07/2025
18,Tomato,38,44.01,17/06/2025
19,Walnuts,378,71.78,30/06/2025
20,Cheese,464,26.47,14/12/2025
21,Blueberry,122,81.44,01/07/2025
22,Cereal,31,47.73,23/04/2025
23,Ginger,466,40.23,22/07/2025
24,Radish,24,57.24,28/10/2025
25,Papaya,490,11.12,13/05/2025
26,Peach,401,60.97,27/09/2025
27,Popcorn,266,38.03,12/11/2025
28,Mustard,459,62.94,02/05/2025
29,Apple,394,89.14,04/02/2026
30,Strawberry,181,47.97,17/08/2025
31,Cereal,312,70.51,29/10/2025
32,Peanuts,90,57.65,19/02/2026
33,Zucchini,107,34.07,16/02/2026
34,Cheese,156,83.31,04/06/2025
35,Ice Cream,88,24.81,20/02/2026
36,Mushrooms,60,57.9,31/07/2025
37,Grapes,33,69.34,18/11/2025
38,Mushrooms,53,64.38,12/02/2026
39,Mushrooms,178,56.9,17/10/2025
40,Salmon,207,10.19,07/05/2025
41,Potato,286,86.51,04/02/2026
42,Flour,295,61.75,30/11/2025
43,Cashews,417,30.47,01/09/2025
44,Jam,490,73.62,25/12/2025
45,Papaya,419,83.48,10/11/2025
46,Coconut,233,91.63,08/02/2026
47,Mustard,313,54.78,24/01/2026
48,Popcorn,320,38.4,12/02/2026
49,Salmon,214,41.64,11/02/2026
50,Banana,298,57.91,16/08/2025
51,Mushrooms,89,91.59,06/12/2025
52,Bread,105,16.5,25/04/2025
53,Mango,117,59.09,13/08/2025
54,Radish,435,53.66,15/06/2025
55,Bread,208,17.68,30/08/2025
56,Soy Sauce,224,57.78,19/01/2026
57,Tomato,352,72.74,27/10/2025
58,Coconut,232,36.14,29/07/2025
59,Grapes,112,50.18,20/03/2026
60,Popcorn,133,52.79,21/03/2026
61,Pasta,28,41.16,02/03/2026
62,Potato,165,46.66,30/04/2025
63,Zucchini,307,48.07,21/03/2026
64,Soy Sauce,131,64.54,22/06/2025
65,Pineapple,381,66.89,14/10/2025
66,Peach,203,61.09,14/01/2026
67,Mango,176,41.47,22/06/2025
68,Milk,379,50.91,04/06/2025
69,Turkey,226,94.09,03/10/2025
70,Pasta,309,79.15,10/01/2026
71,Pasta,141,66.39,18/09/2025
72,Oil,380,71.19,16/08/2025
73,Pear,454,84.64,23/08/2025
74,Garlic,485,82.11,01/06/2025
75,Coffee,128,82.15,23/10/2025
76,Tea,434,42.96,31/05/2025
77,Spaghetti Sauce,66,38,24/10/2025
78,Butter,251,25.86,03/12/2025
79,Radish,391,42.08,19/05/2025
80,Sugar,157,85.3,12/07/2025
81,Carrot,47,57.54,19/12/2025
82,Lettuce,136,91.91,11/09/2025
83,Oil,393,13.12,24/12/2025
84,Tofu,98,99.75,29/10/2025
85,Salt,208,14.88,08/08/2025
86,Cranberries,423,52.81,30/01/2026
87,Olives,285,96.59,07/02/2026
88,Lamb,170,42.34,28/10/2025
89,Duck,368,84.44,06/02/2026
90,Sugar,188,56.18,16/02/2026
91,Bell Pepper,239,39.32,11/09/2025
92,Peanuts,495,64.73,22/10/2025
93,Milk,49,17.7,16/01/2026
94,Shrimp,304,22.97,12/03/2026
95,Pasta,15,85.93,12/12/2025
96,Tea,61,18.39,22/05/2025
97,Peanuts,122,39.45,30/11/2025
98,Yogurt,455,86.66,18/08/2025
99,Peanut Butter,329,10.4,19/07/2025
100,Coffee,254,83.7,15/08/2025
101,Cashews,281,13.78,26/11/2025
102,Coffee,79,87.35,31/01/2026
103,Soda,392,56.51,08/06/2025
104,Pizza,342,57.7,03/05/2025
105,Walnuts,238,55.35,09/03/2026
106,Walnuts,84,92.66,25/08/2025
107,Mushrooms,141,14.78,18/10/2025
108,Pear,344,10.39,22/12/2025
109,Lamb,294,60.67,14/11/2025
110,Pineapple,287,83.95,04/12/2025
111,Mango,193,69.43,02/11/2025
112,Soy Sauce,425,17.99,28/11/2025
113,Banana,58,99.17,17/05/2025
114,Cranberries,365,70.28,04/12/2025
115,Cucumber,280,92.43,06/01/2026
116,Lettuce,400,17.4,31/08/2025
117,Chicken Wings,255,26.55,08/01/2026
118,Mustard,423,71.49,28/05/2025
119,Pineapple,315,76.98,05/01/2026
120,Tea,271,42.86,14/05/2025
121,Rice,36,94.35,30/10/2025
122,Coffee,17,78.22,22/05/2025
123,Yogurt,268,73.46,13/05/2025
124,Blueberry,402,26.32,16/05/2025
125,Zucchini,227,58.04,19/08/2025
126,Chicken,249,28.31,18/09/2025
127,Cheese,389,38.37,07/07/2025
128,Pasta,488,54.45,13/09/2025
129,Garlic,411,69.17,26/07/2025
130,Olives,438,97.12,13/11/2025
131,Coconut,140,91.75,10/10/2025
132,Avocado,369,53.82,10/07/2025
133,Papaya,421,24.65,07/06/2025
134,Blueberry,148,47.22,07/10/2025
135,Banana,18,81.16,06/07/2025
136,Celery,332,36.18,03/11/2025
137,Cereal,257,48.36,11/11/2025
138,Lemon,368,43.44,16/06/2025
139,Grapes,129,12.42,07/07/2025
140,Potato,80,12.28,01/11/2025
141,Avocado,167,48.12,02/01/2026
142,Fish,415,22.19,18/07/2025
143,Ginger,234,43.84,20/03/2026
144,Pineapple,34,43.8,24/05/2025
145,Butter,449,72.52,12/08/2025
146,Rice,388,97.26,03/01/2026
147,Strawberry,210,69.2,30/04/2025
148,Rice,115,54.49,17/11/2025
149,Cashews,500,73.31,31/12/2025
150,Mango,192,13.81,08/10/2025
151,Bell Pepper,371,77.79,29/12/2025
152,Salmon,344,10.16,05/07/2025
153,Tomato,481,33.64,05/08/2025
154,Chips,460,17.66,02/11/2025
155,Ice Cream,483,95.46,29/10/2025
156,Grapes,300,80.08,03/10/2025
157,Spaghetti Sauce,496,69.75,09/12/2025
158,Beef,73,55.76,02/01/2026
159,Orange,467,39.09,31/07/2025
160,Potato,281,83.45,04/02/2026
161,Pickles,127,24.83,01/05/2025
162,Walnuts,256,19.74,15/08/2025
163,Mushrooms,396,22.67,03/03/2026
164,Tomato,337,78.09,16/06/2025
165,Rice,210,90.45,19/07/2025
166,Pizza,474,41.26,09/08/2025
